"Guid","Subcategory","EventID","SourceUrl","Fetched"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4753","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4759","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4760","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4761","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4762","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4763","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4764","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"ALWAYS","Eventlog service (always on)","1100","https://learn.microsoft.com/windows/security/threat-protection/auditing/other-events","2026-09-04"
"ALWAYS","Eventlog service (always on)","1102","https://learn.microsoft.com/windows/security/threat-protection/auditing/other-events","2026-09-04"
"ALWAYS","Eventlog service (always on)","1104","https://learn.microsoft.com/windows/security/threat-protection/auditing/other-events","2026-09-04"
"ALWAYS","Eventlog service (always on)","1105","https://learn.microsoft.com/windows/security/threat-protection/auditing/other-events","2026-09-04"
"ALWAYS","Eventlog service (always on)","1108","https://learn.microsoft.com/windows/security/threat-protection/auditing/other-events","2026-09-04"
"0CCE9224-69AE-11D9-BED3-505054503030","File Share","5140","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-file-share","2026-09-04"
"0CCE9224-69AE-11D9-BED3-505054503030","File Share","5142","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-file-share","2026-09-04"
"0CCE9224-69AE-11D9-BED3-505054503030","File Share","5143","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-file-share","2026-09-04"
"0CCE9224-69AE-11D9-BED3-505054503030","File Share","5144","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-file-share","2026-09-04"
"0CCE9224-69AE-11D9-BED3-505054503030","File Share","5168","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-file-share","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5031","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5150","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5151","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5154","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5155","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5156","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5157","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5158","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9226-69AE-11D9-BED3-505054503030","Filtering Platform Connection","5159","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-filtering-platform-connection","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","4960","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","4961","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","4962","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","4963","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","4965","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","5478","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","5479","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","5480","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","5483","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","5484","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9213-69AE-11D9-BED3-505054503030","IPsec Driver","5485","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-ipsec-driver","2026-09-04"
"0CCE9242-69AE-11D9-BED3-505054503030","Kerberos Authentication Service","4768","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-kerberos-authentication-service","2026-09-04"
"0CCE9242-69AE-11D9-BED3-505054503030","Kerberos Authentication Service","4771","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-kerberos-authentication-service","2026-09-04"
"0CCE9242-69AE-11D9-BED3-505054503030","Kerberos Authentication Service","4772","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-kerberos-authentication-service","2026-09-04"
"0CCE9240-69AE-11D9-BED3-505054503030","Kerberos Service Ticket Operations","4769","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-kerberos-service-ticket-operations","2026-09-04"
"0CCE9240-69AE-11D9-BED3-505054503030","Kerberos Service Ticket Operations","4770","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-kerberos-service-ticket-operations","2026-09-04"
"0CCE9240-69AE-11D9-BED3-505054503030","Kerberos Service Ticket Operations","4773","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-kerberos-service-ticket-operations","2026-09-04"
"0CCE9216-69AE-11D9-BED3-505054503030","Logoff","4634","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-logoff","2026-09-04"
"0CCE9216-69AE-11D9-BED3-505054503030","Logoff","4647","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-logoff","2026-09-04"
"0CCE9215-69AE-11D9-BED3-505054503030","Logon","4624","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-logon","2026-09-04"
"0CCE9215-69AE-11D9-BED3-505054503030","Logon","4625","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-logon","2026-09-04"
"0CCE9215-69AE-11D9-BED3-505054503030","Logon","4648","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-logon","2026-09-04"
"0CCE9215-69AE-11D9-BED3-505054503030","Logon","4675","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-logon","2026-09-04"
"0CCE923A-69AE-11D9-BED3-505054503030","Other Account Management Events","4782","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-other-account-management-events","2026-09-04"
"0CCE923A-69AE-11D9-BED3-505054503030","Other Account Management Events","4793","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-other-account-management-events","2026-09-04"
"0CCE921C-69AE-11D9-BED3-505054503030","Other Logon/Logoff Events","4649","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-other-logonlogoff-events","2026-09-04"
"0CCE921C-69AE-11D9-BED3-505054503030","Other Logon/Logoff Events","4778","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-other-logonlogoff-events","2026-09-04"
